Product_URL,Product_Name, Product_Price ,Rating,Number_of_reviews,Description,ASIN,Product Description,Manufacturer
https://amzn.eu/d/902IBAN,Safari, ? 899 ,3.9,95,N/A,B09B25Z8M2,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",Safari Industries
https://amzn.eu/d/fGaiggF,Safari, ? 899 ,4,75,N/A,B09B28TKLG,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",Safari Industries
https://amzn.eu/d/02OTUaJ,Safari, ? 799 ,3.8,262,N/A,B09B29F66W,SAFARI FLASH TRAVEL COMPANY,Safari Industries
https://amzn.eu/d/7DvZNrQ,Generic, ? 699 ,0,0,N/A,B0CB1JKT7R,"Glint Laptop Backpack by Harissons is not just ergonomic but one of the most practical backpacks you would ever find. Equipped with all the necessary features for a daily commute, it also comes with Reflector Trimmings that make you visible on your bike ride back home at night.",N/A
https://amzn.eu/d/eFEl5rC,COSMUS ," ? 1,375 ",4.2,502,N/A,B078JVT384,"Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+",Cosmus
https://amzn.eu/d/9a1GlET,NIVIA , ? 269 ,4,391,N/A,B07FWQ9HRV,N/A,Freewill Sports Private Limited
https://amzn.eu/d/i2JmU4u,HAMMONDS FLYCATCHER," ? 5,255 ",4.4,107,N/A,B083M1QK32,MESSENGER BAG,Hindustan Foam
https://amzn.eu/d/12PnNap,Fur Jaden, ? 849 ,4.3,728,N/A,B07YDGQQN5,ENDURING & LONG-LASTING TRAVEL BACKPACK,Fur Jaden
https://amzn.eu/d/h0REFUi,Arctic Fox, ? 229 ,4.3,412,N/A,B08L6Q9V1H,ARCTIC FOX,Arctic Fox
https://amzn.eu/d/gvHnwwr,Martucci , ? 549 ,3.9,"1,150",N/A,B088B4P6ZW,ADDING MOMENTS OF STYLES FOR MARTUCCI,Martucci
https://amzn.eu/d/goMU3Hb,WILDHORN , ? 599 ,4,231,N/A,B09QL81ZHB,"WILDHORN appeals to fashion conscious consumers whom value both style and function. Each piece reflects a casual urban perspective and a lifestyle uniquely associated with brand. WILDHORN backpacks feature bold colors, clean lines, and high-quality materials – all of which add up to a casual, yet modern style perfect for men & women.

Make the right impression with a formal yet Classic bag. A Collection of genuine laptop baackpacks that serves as a bridge between two worlds – capable of adding an artistic edge to business wear or giving formal polish to casual attire. For one who is maneuvering between creative and corporate. Pair with the spirit of reinvention.",WildHorn
